Year,Election Type,County,Precinct,Active Voters,Inactive Voters,Total Voters,Ballots Cast,Total Voters Turnout %
2016,G,ROUTT,3082654010,481,63,544,414,76.1
2016,G,ROUTT,3082654011,1164,323,1487,921,61.94
2016,G,ROUTT,3082654012,728,132,860,636,73.95
2016,G,ROUTT,3082654013,1115,233,1348,973,72.18
2016,G,ROUTT,3082654014,872,156,1028,761,74.03
2016,G,ROUTT,3082654015,1375,236,1611,1198,74.36
2016,G,ROUTT,3082654016,1280,256,1536,1115,72.59
2016,G,ROUTT,3082654017,1144,385,1529,922,60.3
2016,G,ROUTT,3082654018,1275,363,1638,1080,65.93
2016,G,SAGUACHE,3356255001,996,222,1218,860,70.61
2016,G,SAGUACHE,3356255002,106,17,123,96,78.05
2016,G,SAGUACHE,3356255003,233,82,315,182,57.78
2016,G,SAGUACHE,3356255004,241,46,287,190,66.2
2016,G,SAGUACHE,3356255005,845,163,1008,682,67.66
2016,G,SAGUACHE,3356255006,648,119,767,474,61.8
2016,G,SAGUACHE,3356255007,631,127,758,456,60.16
2016,G,SAN JUAN,3065956001,603,131,734,520,70.84
2016,G,SAN MIGUEL,3065857001,1871,404,2275,1532,67.34
2016,G,SAN MIGUEL,3065857002,1200,182,1382,1036,74.96
2016,G,SAN MIGUEL,3065857003,622,82,704,540,76.7
2016,G,SAN MIGUEL,3065857004,902,137,1039,771,74.21
2016,G,SAN MIGUEL,3065857005,96,15,111,81,72.97
2016,G,SAN MIGUEL,3065857006,612,206,818,502,61.37
2016,G,SEDGWICK,4016558001,386,62,448,349,77.9
2016,G,SEDGWICK,4016558002,303,42,345,280,81.16
2016,G,SEDGWICK,4016558003,345,34,379,295,77.84
2016,G,SEDGWICK,4016558004,246,37,283,215,75.97
2016,G,SEDGWICK,4016558005,294,55,349,261,74.79
2016,G,SUMMIT,2086159001,1393,574,1967,1077,54.75
2016,G,SUMMIT,2086159002,1362,465,1827,1078,59
2016,G,SUMMIT,2086159003,769,245,1014,626,61.74
2016,G,SUMMIT,2086159004,1480,426,1906,1217,63.85
2016,G,SUMMIT,2086159005,1447,353,1800,1207,67.06
2016,G,SUMMIT,2086159006,767,186,953,624,65.48
2016,G,SUMMIT,2086159007,955,405,1360,696,51.18
2016,G,SUMMIT,2086159008,605,226,831,477,57.4
2016,G,SUMMIT,2086159009,1338,449,1787,1036,57.97
2016,G,SUMMIT,2086159010,914,144,1058,794,75.05
2016,G,SUMMIT,2086159011,643,163,806,564,69.98
2016,G,SUMMIT,2086159012,330,55,385,273,70.91
2016,G,SUMMIT,2086159013,1068,184,1252,919,73.4
2016,G,SUMMIT,2086159014,779,308,1087,623,57.31
2016,G,SUMMIT,2086159015,926,262,1188,795,66.92
2016,G,SUMMIT,2086159016,931,290,1221,737,60.36
2016,G,SUMMIT,2086159017,1235,357,1592,1028,64.57
2016,G,SUMMIT,2086159018,1279,579,1858,1015,54.63
2016,G,SUMMIT,2086159019,1180,333,1513,981,64.84
2016,G,SUMMIT,2086159020,1077,353,1430,878,61.4
2016,G,TELLER,5023960001,1519,238,1757,1306,74.33
2016,G,TELLER,5023960002,1329,215,1544,1160,75.13
2016,G,TELLER,5023960003,1632,240,1872,1400,74.79
2016,G,TELLER,5023960004,1528,191,1719,1314,76.44
2016,G,TELLER,5023960005,830,96,926,731,78.94
2016,G,TELLER,5023960006,410,75,485,349,71.96
2016,G,TELLER,5023960007,1746,216,1962,1491,75.99
2016,G,TELLER,5023960008,1482,172,1654,1294,78.23
2016,G,TELLER,5023960009,1505,205,1710,1332,77.89
2016,G,TELLER,5023960010,1283,174,1457,1113,76.39
2016,G,TELLER,5023960011,1823,298,2121,1502,70.82
2016,G,TELLER,5023960012,1198,164,1362,1027,75.4
2016,G,TELLER,5023960013,883,161,1044,717,68.68
2016,G,WASHINGTON,4016461001,125,7,132,115,87.12
2016,G,WASHINGTON,4016461002,1574,172,1746,1432,82.02
2016,G,WASHINGTON,4016461003,167,9,176,154,87.5
2016,G,WASHINGTON,4016461004,585,54,639,512,80.13
2016,G,WASHINGTON,4016461005,222,24,246,202,82.11
2016,G,WASHINGTON,4016461006,390,31,421,369,87.65
2016,G,WELD,4014862118,1304,72,1376,1149,83.5
2016,G,WELD,4014862119,727,60,787,622,79.03
2016,G,WELD,4014862126,1493,125,1618,1270,78.49
2016,G,WELD,4014862127,1128,116,1244,949,76.29
2016,G,WELD,4014862128,1677,97,1774,1487,83.82
2016,G,WELD,4014862134,1279,102,1381,1111,80.45
2016,G,WELD,4014862316,841,46,887,730,82.3
2016,G,WELD,4016362101,386,38,424,352,83.02
2016,G,WELD,4016362102,289,17,306,250,81.7
2016,G,WELD,4016362103,441,28,469,399,85.07
2016,G,WELD,4016362104,1839,131,1970,1614,81.93
2016,G,WELD,4016362308,836,38,874,735,84.1
2016,G,WELD,4016362310,1866,146,2012,1562,77.63
2016,G,WELD,4016362311,1970,180,2150,1725,80.23
2016,G,WELD,4016362312,478,39,517,432,83.56
2016,G,WELD,4016362314,1292,119,1411,1030,73
2016,G,WELD,4016362320,1146,118,1264,943,74.6
2016,G,WELD,4016362327,1608,230,1838,1305,71
2016,G,WELD,4134862120,569,33,602,507,84.22
2016,G,WELD,4134862124,1795,136,1931,1587,82.19
2016,G,WELD,4134862125,1733,128,1861,1578,84.79
2016,G,WELD,4134862135,1087,73,1160,993,85.6
2016,G,WELD,4134862136,1233,94,1327,1077,81.16
2016,G,WELD,4134862146,532,75,607,386,63.59
2016,G,WELD,4134862212,1387,188,1575,1241,78.79
2016,G,WELD,4134862213,2432,192,2624,2075,79.08
2016,G,WELD,4134862214,1381,76,1457,1265,86.82
