"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","503167","*****"
"0500000US08005","Arapahoe County, Colorado","643052","*****"
"0500000US08013","Boulder County, Colorado","322514","*****"
"0500000US08014","Broomfield County, Colorado","68341","*****"
"0500000US08031","Denver County, Colorado","704621","*****"
"0500000US08035","Douglas County, Colorado","335299","*****"
"0500000US08041","El Paso County, Colorado","699232","*****"
"0500000US08059","Jefferson County, Colorado","574613","*****"
"0500000US08069","Larimer County, Colorado","343976","*****"
"0500000US08077","Mesa County, Colorado","151616","*****"
"0500000US08101","Pueblo County, Colorado","166475","*****"
"0500000US08123","Weld County, Colorado","304633","*****"
"0100000US","United States","325719178","*****"
