"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","469193","*****"
"0500000US08005","Arapahoe County, Colorado","607070","*****"
"0500000US08013","Boulder County, Colorado","310048","*****"
"0500000US08031","Denver County, Colorado","649495","*****"
"0500000US08035","Douglas County, Colorado","305963","*****"
"0500000US08041","El Paso County, Colorado","655044","*****"
"0500000US08059","Jefferson County, Colorado","551798","*****"
"0500000US08069","Larimer County, Colorado","315988","*****"
"0500000US08077","Mesa County, Colorado","147554","*****"
"0500000US08101","Pueblo County, Colorado","161451","*****"
"0500000US08123","Weld County, Colorado","269785","*****"
"0100000US","United States","316128839","*****"
