"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","459598","*****"
"0500000US08005","Arapahoe County, Colorado","595546","*****"
"0500000US08013","Boulder County, Colorado","305318","*****"
"0500000US08031","Denver County, Colorado","634265","*****"
"0500000US08035","Douglas County, Colorado","298215","*****"
"0500000US08041","El Paso County, Colorado","644964","*****"
"0500000US08059","Jefferson County, Colorado","545358","*****"
"0500000US08069","Larimer County, Colorado","310487","*****"
"0500000US08077","Mesa County, Colorado","147848","*****"
"0500000US08101","Pueblo County, Colorado","160852","*****"
"0500000US08123","Weld County, Colorado","263691","*****"
"0100000US","United States","313914040","*****"
