"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","443715","*****"
"0500000US08005","Arapahoe County, Colorado","575022","*****"
"0500000US08013","Boulder County, Colorado","295166","*****"
"0500000US08031","Denver County, Colorado","604414","*****"
"0500000US08035","Douglas County, Colorado","287003","*****"
"0500000US08041","El Paso County, Colorado","626928","*****"
"0500000US08059","Jefferson County, Colorado","535533","*****"
"0500000US08069","Larimer County, Colorado","300637","*****"
"0500000US08077","Mesa County, Colorado","146313","*****"
"0500000US08101","Pueblo County, Colorado","159477","*****"
"0500000US08123","Weld County, Colorado","254270","*****"
"0100000US","United States","309349689","*****"
