"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","480718","*****"
"0500000US08005","Arapahoe County, Colorado","618821","*****"
"0500000US08013","Boulder County, Colorado","313333","*****"
"0500000US08031","Denver County, Colorado","663862","*****"
"0500000US08035","Douglas County, Colorado","314638","*****"
"0500000US08041","El Paso County, Colorado","663519","*****"
"0500000US08059","Jefferson County, Colorado","558503","*****"
"0500000US08069","Larimer County, Colorado","324122","*****"
"0500000US08077","Mesa County, Colorado","148255","*****"
"0500000US08101","Pueblo County, Colorado","161875","*****"
"0500000US08123","Weld County, Colorado","277670","*****"
"0100000US","United States","318857056","*****"
