"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","498187","*****"
"0500000US08005","Arapahoe County, Colorado","637068","*****"
"0500000US08013","Boulder County, Colorado","322226","*****"
"0500000US08014","Broomfield County, Colorado","66529","*****"
"0500000US08031","Denver County, Colorado","693060","*****"
"0500000US08035","Douglas County, Colorado","328632","*****"
"0500000US08041","El Paso County, Colorado","688284","*****"
"0500000US08059","Jefferson County, Colorado","571837","*****"
"0500000US08069","Larimer County, Colorado","339993","*****"
"0500000US08077","Mesa County, Colorado","150083","*****"
"0500000US08101","Pueblo County, Colorado","165123","*****"
"0500000US08123","Weld County, Colorado","294932","*****"
"0100000US","United States","323127515","*****"
