"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","451443","*****"
"0500000US08005","Arapahoe County, Colorado","584948","*****"
"0500000US08013","Boulder County, Colorado","299378","*****"
"0500000US08031","Denver County, Colorado","619968","*****"
"0500000US08035","Douglas County, Colorado","292167","*****"
"0500000US08041","El Paso County, Colorado","636963","*****"
"0500000US08059","Jefferson County, Colorado","539884","*****"
"0500000US08069","Larimer County, Colorado","305525","*****"
"0500000US08077","Mesa County, Colorado","147083","*****"
"0500000US08101","Pueblo County, Colorado","160545","*****"
"0500000US08123","Weld County, Colorado","258638","*****"
"0100000US","United States","311591919","*****"
