"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","491337","*****"
"0500000US08005","Arapahoe County, Colorado","631096","*****"
"0500000US08013","Boulder County, Colorado","319372","*****"
"0500000US08014","Broomfield County, Colorado","65065","*****"
"0500000US08031","Denver County, Colorado","682545","*****"
"0500000US08035","Douglas County, Colorado","322387","*****"
"0500000US08041","El Paso County, Colorado","674471","*****"
"0500000US08059","Jefferson County, Colorado","565524","*****"
"0500000US08069","Larimer County, Colorado","333577","*****"
"0500000US08077","Mesa County, Colorado","148513","*****"
"0500000US08101","Pueblo County, Colorado","163591","*****"
"0500000US08123","Weld County, Colorado","285174","*****"
"0100000US","United States","321418821","*****"
