"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US08001","Adams County, Colorado","517421","*****"
"0500000US08005","Arapahoe County, Colorado","656590","*****"
"0500000US08013","Boulder County, Colorado","326196","*****"
"0500000US08014","Broomfield County, Colorado","70465","*****"
"0500000US08031","Denver County, Colorado","727211","*****"
"0500000US08035","Douglas County, Colorado","351154","*****"
"0500000US08041","El Paso County, Colorado","720403","*****"
"0500000US08059","Jefferson County, Colorado","582881","*****"
"0500000US08069","Larimer County, Colorado","356899","*****"
"0500000US08077","Mesa County, Colorado","154210","*****"
"0500000US08101","Pueblo County, Colorado","168424","*****"
"0500000US08123","Weld County, Colorado","324492","*****"
"0100000US","United States","328239523","*****"
