Biden_ Harris,Trump_ Pence,Blankenship_ Mohr,Hammons_Bodenstab,Hawkins_Walker,Huber_Atwood,Jorgensen_Cohen,Carroll_Patel,Charles_Wallace,Collins_Parker,De_La_Fuente_Richardson,Hunter_Adams,Jacob-Fambro_Maryam Kennedy_Jarrett,Kishore_Santa_Cruz,Kopitke_Re-Vo-Sorenson,La_Riva_Freeman,McHugh_Storm,Pierce_Ballard,Scott_Tepool,West_Tidball,
County,Registered Voters,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice_Total,TotalVotes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total Votes,Choice Total,Total,
Hinsdale,0,255,255,353,353,4,4,0,0,1,1,0,0,10,10,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,632,
Huerfano,0,2076,2076,2203,2203,9,9,2,2,12,12,1,1,71,71,3,3,5,5,3,3,2,2,0,0,0,0,2,2,4,4,0,0,2,2,1,1,0,0,0,0,10,10,4406,
Jackson,0,175,175,681,681,2,2,1,1,2,2,0,0,12,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,876,
Jefferson,0,218393,218393,148414,148414,631,631,318,318,1089,1089,39,39,6394,6394,309,309,231,231,64,64,63,63,35,35,51,51,40,40,21,21,101,101,84,84,76,76,82,82,16,16,900,900,377351,
Kiowa,0,98,98,795,795,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,903,
Kit Carson,0,662,662,3143,3143,11,11,2,2,2,2,0,0,34,34,2,2,1,1,0,0,0,0,0,0,2,2,2,2,0,0,1,1,0,0,2,2,2,2,0,0,4,4,3870,
La Plata,0,20548,20548,14233,14233,37,37,23,23,128,128,4,4,530,530,11,11,29,29,5,5,8,8,2,2,4,4,3,3,2,2,9,9,5,5,5,5,2,2,0,0,79,79,35667,
Lake,0,2303,2303,1497,1497,4,4,4,4,23,23,0,0,101,101,1,1,0,0,2,2,3,3,3,3,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,17,17,3961,
Larimer,0,126117,126117,91488,91488,372,372,195,195,727,727,20,20,4088,4088,258,258,136,136,36,36,55,55,33,33,29,29,24,24,12,12,48,48,60,60,45,45,33,33,8,8,549,549,224333,
Las Animas,0,3497,3497,4284,4284,19,19,5,5,17,17,0,0,86,86,5,5,7,7,5,5,1,1,1,1,2,2,1,1,0,0,6,6,1,1,3,3,0,0,0,0,21,21,7961,
Lincoln,0,470,470,2135,2135,7,7,1,1,1,1,1,1,26,26,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,3,3,2651,
Logan,0,2218,2218,8087,8087,18,18,4,4,16,16,1,1,139,139,5,5,9,9,4,4,2,2,0,0,2,2,2,2,1,1,0,0,1,1,2,2,1,1,0,0,20,20,10532,
Mesa,0,31533,31533,56888,56888,200,200,65,65,188,188,12,12,1306,1306,38,38,58,58,18,18,10,10,7,7,17,17,7,7,1,1,15,15,15,15,16,16,15,15,7,7,197,197,90613,
Mineral,0,317,317,427,427,5,5,0,0,0,0,0,0,3,3,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,756,
Moffat,0,1203,1203,5670,5670,6,6,3,3,7,7,0,0,97,97,2,2,7,7,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,2,2,4,4,0,0,21,21,7026,
Montezuma,0,5836,5836,9306,9306,26,26,16,16,33,33,0,0,192,192,9,9,18,18,3,3,3,3,1,1,3,3,3,3,0,0,6,6,2,2,2,2,2,2,2,2,37,37,15500,
Montrose,0,7687,7687,16770,16770,30,30,16,16,49,49,2,2,285,285,7,7,8,8,3,3,1,1,2,2,2,2,0,0,2,2,4,4,2,2,2,2,3,3,2,2,45,45,24922,
Morgan,0,3876,3876,9593,9593,14,14,11,11,26,26,0,0,151,151,5,5,11,11,5,5,9,9,1,1,0,0,0,0,0,0,2,2,2,2,6,6,2,2,3,3,27,27,13744,
Otero,0,3605,3605,5756,5756,15,15,10,10,16,16,3,3,88,88,6,6,14,14,5,5,8,8,1,1,2,2,3,3,1,1,4,4,2,2,1,1,1,1,0,0,35,35,9576,
Ouray,0,2365,2365,1577,1577,5,5,2,2,12,12,0,0,46,46,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,7,7,4020,
Park,0,4903,4903,6990,6990,29,29,11,11,56,56,0,0,238,238,4,4,12,12,4,4,0,0,0,0,1,1,0,0,1,1,2,2,1,1,3,3,2,2,2,2,30,30,12289,
Phillips,0,486,486,1958,1958,3,3,1,1,7,7,0,0,24,24,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2485,
Pitkin,0,8989,8989,2780,2780,9,9,10,10,41,41,0,0,94,94,2,2,3,3,0,0,1,1,0,0,1,1,1,1,0,0,3,3,0,0,0,0,0,0,0,0,23,23,11957,
Prowers,0,1458,1458,4008,4008,13,13,3,3,9,9,0,0,39,39,3,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,4,4,1,1,2,2,0,0,2,2,14,14,5561,
